SYMBOL,SECTOR,MARKET_CAP
20MICRONS,Basic Materials,546.45
21STCENMGM,Financial Services,30.03
360ONE,Financial Services,37740.41
3IINFOLTD,Technology,316.12
3MINDIA,Industrials,32961.59
3PLAND,Other,0.0
5PAISA,Financial Services,903.49
5PAISA-RE,Other,0.0
63MOONS,Technology,2315.82
A2ZINFRA,Industrials,289.54
AAATECH,Technology,123.48
AADHARHFC,Financial Services,19881.16
AAKASH,Energy,83.73
AAREYDRUGS,Healthcare,167.88
AARNAV,,0.0
AARON,Industrials,304.5
AARTECH,Industrials,141.12
AARTIDRUGS,Healthcare,3259.01
AARTIIND,Basic Materials,14614.72
AARTIPHARM,Healthcare,5898.93
AARTISURF,Basic Materials,319.66
AARVI,Industrials,187.67
AAVAS,Financial Services,8921.33
ABB,Industrials,132853.07
ABBOTINDIA,Healthcare,54620.6
ABCAPITAL,Financial Services,80907.29
ABCOTS,Consumer Cyclical,892.93
ABDL,Consumer Defensive,11750.62
ABFRL,Consumer Cyclical,7013.69
ABINFRA,Industrials,1012.48
ABLBL,Consumer Cyclical,11914.0
ABMINTLLTD,Basic Materials,41.09
ABREL,Real Estate,13081.36
ABSLAMC,Financial Services,26863.31
ACC,Basic Materials,25163.49
ACCELYA,Technology,1681.51
ACCURACY,Industrials,73.62
ACE,Industrials,9938.4
ACEINTEG,Industrials,18.65
ACI,Basic Materials,7095.15
ACL,Basic Materials,456.81
ACMESOLAR,Utilities,16778.82
ACUTAAS,Basic Materials,18126.27
ADANIENSOL,Utilities,118614.13
ADANIENT,Energy,256329.46
ADANIGREEN,Utilities,152421.44
ADANIPORTS,Industrials,318176.76
ADANIPOWER,Utilities,315056.8
ADFFOODS,Consumer Defensive,1931.07
ADL,Consumer Cyclical,36.65
ADOR,Industrials,1482.37
ADROITINFO,Technology,51.37
ADSL,Technology,594.13
ADVAIT,Industrials,1941.18
ADVANCE,Basic Materials,612.77
ADVANIHOTR,Consumer Cyclical,471.9
ADVENTHTL,Consumer Cyclical,771.76
ADVENZYMES,Basic Materials,3149.62
AEGISLOG,Energy,20638.8
AEGISVOPAK,Energy,19337.78
AEPL,Industrials,0.0
AEQUS,Industrials,8058.64
AEROENTER,Basic Materials,852.77
AEROFLEX,Industrials,3253.82
AERONEU,Consumer Cyclical,204.16
AETHER,Basic Materials,14405.41
AFCONS,Industrials,10627.14
AFFLE,Communication Services,19792.47
AFFORDABLE,Industrials,177.35
AFIL,Financial Services,376.39
AFSL,Financial Services,1022.88
AGARIND,Basic Materials,545.14
AGARWALEYE,Healthcare,13760.53
AGI,Consumer Cyclical,3234.22
AGIIL,Real Estate,3914.29
AGRITECH,Consumer Defensive,64.2
AGROPHOS,Basic Materials,64.65
